"Freq [GHz]","dB(S(port1,port1)) []","dB(S(port2,port1)) []"
9.55,-13.5250850774228,-3.7061395342983
9.56,-14.0840512171524,-3.49322713249282
9.57,-14.4220135781229,-3.30922075305634
9.58,-14.56397885639,-3.14993643441645
9.59,-14.5664446526875,-3.01142226766031
9.6,-14.4932430747267,-2.89010093403144
9.61,-14.3982379583994,-2.78284983267709
9.62,-14.3196509373706,-2.68702995206849
9.63,-14.2816906770303,-2.60047683616865
9.64,-14.2984932971477,-2.52146632280986
9.65,-14.377802784867,-2.44866558557532
9.66,-14.523668356462,-2.3810774280999
9.67,-14.7382223089813,-2.31798337259859
9.68,-15.0227971272883,-2.25888912475648
9.69,-15.3786215101364,-2.20347454049432
9.7,-15.8072701746447,-2.15154921016857
9.71,-16.3109860877601,-2.10301411436028
9.72,-16.8929568360131,-2.05782939222991
9.73,-17.5576076678661,-2.01598801405111
9.74,-18.3109698019742,-1.97749500095947
9.75,-19.1611941270196,-1.94235174455245
9.76,-20.1193127833312,-1.91054492088249
9.77,-21.2004191827235,-1.88203945406404
9.78,-22.4255763399573,-1.85677495881696
9.79,-23.8250606034155,-1.83466507812525
9.8,-25.4442307192319,-1.81559913313038
9.81,-27.3550486235127,-1.79944551885949
9.82,-29.6813390876798,-1.78605631191102
9.83,-32.6637358948135,-1.7752726038763
9.84,-36.8749856412206,-1.76693013480865
9.85,-44.4043532005007,-1.76086487121616
9.86,-55.5056535449766,-1.75691824912696
9.87,-41.2627685407891,-1.75494188106291
9.88,-36.491358974002,-1.75480160300164
9.89,-33.6968953353912,-1.75638081103894
9.9,-31.7934105539662,-1.75958310569732
9.91,-30.399604292548,-1.76433432360631
9.92,-29.3344269747119,-1.77058409113585
9.93,-28.49564688698,-1.77830708240328
9.94,-27.8179942881713,-1.7875042049664
9.95,-27.2554138189726,-1.79820397047434
9.96,-26.7724090669037,-1.81046433435344
9.97,-26.3393896081381,-1.82437530762881
9.98,-25.9300478573053,-1.84006265403097
9.99,-25.5199656789651,-1.8576929846789
