"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
60,-172,124,0.62545083574317
60,-172,126,0.556332541787595
60,-172,128,0.490699606388876
60,-172,130,0.429315873483195
60,-172,132,0.372434076646724
60,-172,134,0.319749339079525
60,-172,136,0.270517716947981
60,-172,138,0.223849392008105
60,-172,140,0.179128197588783
60,-172,142,0.136443119828697
60,-172,144,0.0968678512690563
60,-172,146,0.0624221647872494
60,-172,148,0.0356181470411274
60,-172,150,0.0186360676091686
60,-172,152,0.0123528264639106
60,-172,154,0.0155883170114139
60,-172,156,0.0249561325228781
60,-172,158,0.0355483673977832
60,-172,160,0.042367232651096
60,-172,162,0.0420497003173452
60,-172,164,0.0341904258267732
60,-172,166,0.0216125032788315
60,-172,168,0.00931237371946535
60,-172,170,0.00239016263331767
60,-172,172,0.00380306449823345
60,-172,174,0.0129603929161716
60,-172,176,0.025869449751786
60,-172,178,0.0368448321994615
60,-172,180,0.041037486142265
60,-170,0,7.36752269720022
60,-170,2,7.29279465199262
60,-170,4,7.06040872719779
60,-170,6,6.68369535882311
60,-170,8,6.18129960765881
60,-170,10,5.57292880944593
60,-170,12,4.87742408508284
60,-170,14,4.11437535334374
60,-170,16,3.30845346485299
60,-170,18,2.49398028696602
60,-170,20,1.71685740020476
60,-170,22,1.03200035178664
60,-170,24,0.496332487863358
60,-170,26,0.159255162121364
60,-170,28,0.0535132748459427
60,-170,30,0.189175915905524
60,-170,32,0.55227040330658
60,-170,34,1.10803502604822
60,-170,36,1.80743531167287
60,-170,38,2.59494187442957
60,-170,40,3.41567324654852
60,-170,42,4.22065047547167
60,-170,44,4.96974092773416
60,-170,46,5.63256714867658
60,-170,48,6.18804259202443
60,-170,50,6.62325146651371
60,-170,52,6.93221378315957
60,-170,54,7.11481126106519
60,-170,56,7.17591623153136
60,-170,58,7.12462968224411
60,-170,60,6.97350390987742
60,-170,62,6.73766881198936
60,-170,64,6.4338539689221
60,-170,66,6.07936332763099
60,-170,68,5.69109426060926
60,-170,70,5.28469411862158
60,-170,72,4.87392321930589
60,-170,74,4.4702565996339
60,-170,76,4.08272013432326
60,-170,78,3.71792814049335
60,-170,80,3.38027296897411
60,-170,82,3.07221206060463
60,-170,84,2.79460191126015
60,-170,86,2.54703788260578
60,-170,88,2.3281705860716
60,-170,90,2.13598122310246
60,-170,92,1.96800829848175
60,-170,94,1.82152587167105
60,-170,96,1.69367888886634
60,-170,98,1.5815843810775
60,-170,100,1.4824087638024
60,-170,102,1.39343144227094
60,-170,104,1.31210362774474
60,-170,106,1.23610883134934
60,-170,108,1.1634280251549
60,-170,110,1.09240813048839
60,-170,112,1.02182769771551
60,-170,114,0.950949066092863
60,-170,116,0.879542947675549
60,-170,118,0.807870506373818
60,-170,120,0.736610824424663
60,-170,122,0.66672897406567
60,-170,124,0.599291667836077
60,-170,126,0.535252265538488
60,-170,128,0.475241877666975
60,-170,130,0.419414199475592
60,-170,132,0.367393644852623
