"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
4.5,-176,16,2.58054562547914
4.5,-176,18,2.58461471615792
4.5,-176,20,2.57962197934065
4.5,-176,22,2.56581331194801
4.5,-176,24,2.54353470449888
4.5,-176,26,2.51322216197829
4.5,-176,28,2.47539008975301
4.5,-176,30,2.43061855442201
4.5,-176,32,2.37953984138798
4.5,-176,34,2.32282472538482
4.5,-176,36,2.26116884879315
4.5,-176,38,2.19527956760498
4.5,-176,40,2.12586357913187
4.5,-176,42,2.05361559204604
4.5,-176,44,1.97920824123537
4.5,-176,46,1.90328339027077
4.5,-176,48,1.82644490579113
4.5,-176,50,1.74925293318401
4.5,-176,52,1.67221965348559
4.5,-176,54,1.59580645883595
4.5,-176,56,1.52042244898063
4.5,-176,58,1.4464241245922
4.5,-176,60,1.37411613453975
4.5,-176,62,1.30375292323547
4.5,-176,64,1.23554112012136
4.5,-176,66,1.16964251530455
4.5,-176,68,1.10617747226321
4.5,-176,70,1.04522863933173
4.5,-176,72,0.986844835252928
4.5,-176,74,0.931044999439767
4.5,-176,76,0.877822113807182
4.5,-176,78,0.827147019329261
4.5,-176,80,0.778972066204704
4.5,-176,82,0.733234551174212
4.5,-176,84,0.689859908767642
4.5,-176,86,0.648764634835884
4.5,-176,88,0.609858930526686
4.5,-176,90,0.573049062876923
4.5,-176,92,0.538239444477671
4.5,-176,94,0.50533443934768
4.5,-176,96,0.474239905396189
4.5,-176,98,0.444864485871061
4.5,-176,100,0.417120663195754
4.5,-176,102,0.390925588830881
4.5,-176,104,0.366201702485177
4.5,-176,106,0.342877153371439
4.5,-176,108,0.320886035465979
4.5,-176,110,0.300168448076398
4.5,-176,112,0.280670392617192
4.5,-176,114,0.26234351647083
4.5,-176,116,0.245144715272345
4.5,-176,118,0.229035605956577
4.5,-176,120,0.213981884462502
4.5,-176,122,0.199952584063734
4.5,-176,124,0.186919252803368
4.5,-176,126,0.174855071319881
4.5,-176,128,0.163733935276648
4.5,-176,130,0.153529529427618
4.5,-176,132,0.144214422810899
4.5,-176,134,0.135759216387681
4.5,-176,136,0.128131775361575
4.5,-176,138,0.121296578167275
4.5,-176,140,0.11521421249141
4.5,-176,142,0.109841045528756
4.5,-176,144,0.105129090912665
4.5,-176,146,0.101026088419162
4.5,-176,148,0.0974758047718182
4.5,-176,150,0.09441855492897
4.5,-176,152,0.0917919334896434
4.5,-176,154,0.0895317357832864
4.5,-176,156,0.0875730383615261
4.5,-176,158,0.0858513995822218
4.5,-176,160,0.0843041333660008
4.5,-176,162,0.0828716035721143
4.5,-176,164,0.081498483257079
4.5,-176,166,0.0801349226911809
4.5,-176,168,0.0787375725955273
4.5,-176,170,0.0772704146180478
4.5,-176,172,0.0757053593827278
4.5,-176,174,0.0740225831190989
4.5,-176,176,0.072210586330888
4.5,-176,178,0.0702659714779412
4.5,-176,180,0.06819295041924
4.5,-174,0,2.22951090171359
4.5,-174,2,2.29856804792996
4.5,-174,4,2.36054649783392
4.5,-174,6,2.41484214634621
4.5,-174,8,2.46094661576403
4.5,-174,10,2.49845655884765
4.5,-174,12,2.52708042250479
4.5,-174,14,2.54664250128227
4.5,-174,16,2.5570842085924
4.5,-174,18,2.55846259310168
4.5,-174,20,2.55094622320492
