"Time [ns]","V(S6_B) [mV]"
0,0
0.01,0
0.02,0
0.04,0
0.08,0
0.148,0
0.2636,0
0.40328,0
0.54296,0
0.658666329113924,0
0.774372658227848,0
0.890078987341772,0
1,0
1.005,0
1.01,0
1.02,0
1.03,0
1.05,0
1.09,0
1.12931623931624,0
1.16666666666667,3.86232456100576E-15
1.16706778807076,0.00133737023138124
1.16746890947485,0.00462524775877381
1.16827115228303,0.0153033160515317
1.16907339509121,0.0332142660763756
1.1698756378994,0.0547273901491123
1.17098329136044,0.0801836340924536
1.17209094482148,0.0917881419846161
1.17319859828252,0.085105789256948
1.17407659027851,0.0679109355921625
1.17540483458013,0.0308159093223676
1.17666666666667,-0.00571695620511896
1.1771410063716,-0.0183020827217137
1.17761534607654,-0.0311660644792362
1.17856402548641,-0.0567825715384783
1.17975360362339,-0.0832517799098177
1.18094318176037,-0.0914555665341323
1.18273993036641,-0.0510386280022372
1.18453667897244,0.0414744870002572
1.18633342757848,0.14460158672263
1.18863764009552,0.217362406070461
1.19094185261256,0.185822685820133
1.1932460651296,0.073187787469216
1.19555027764664,-0.0504252801359456
1.19785449016368,-0.114124215075705
1.20015870268072,-0.0833821923200743
1.20246291519775,0.0276820370430984
1.20539174331741,0.200361602520777
1.20832057143706,0.306102263477359
1.21124939955671,0.280913042770383
1.21417822767637,0.144950429442149
1.21710705579602,-0.0146188366883549
1.22003588391567,-0.0968616480000811
1.22358613361201,-0.0188890268942616
1.22713638330835,0.206948914039391
1.23068663300469,0.432334309878301
1.23423688270102,0.522745057309653
1.23778713239736,0.501737092153814
1.2413373820937,0.634850529122743
1.24488763179003,1.40552725293151
1.24843788148637,3.38906837049346
1.25198813118271,7.07662618803105
1.25553838087905,12.7197278490487
1.25908863057538,20.2525169500663
1.26263888027172,29.3138796776597
1.26618912996806,39.3524473312883
1.26973937966439,49.7703827179766
1.27328962936073,60.0553540215171
1.27683987905707,69.8629774222948
1.28039012875341,79.035789709894
1.28394037844974,87.5685606076199
1.28749062814608,95.5448459711039
1.29104087784242,103.072611468542
1.29459112753875,110.239325725948
1.29814137723509,117.094343753858
1.30169162693143,123.654528570639
1.30524187662777,129.922029198373
1.3087921263241,135.902232529502
1.31234237602044,141.61379309575
1.31688848180421,148.589210137188
1.32143458758798,155.252269962252
1.3270327340484,163.117143408952
1.33263088050882,170.653520433529
1.33822902696924,177.873162698034
1.3456865666315,187.014916801056
1.35314410629375,195.676645089131
1.36220281336491,205.684791938023
1.37126152043607,215.208811625012
1.38032022750723,224.265028708865
1.39171981250709,235.046298272789
1.40311939750695,245.260214746207
1.41451898250681,254.997123022139
1.42591856750667,264.257093744614
1.44207680558576,276.486522462879
1.45823504366484,287.600719413057
1.47439328174393,297.659738958017
1.49652508415616,310.097473804629
1.51865688656838,321.179107674905
1.54078868898061,330.925941034493
1.57265653143278,343.025607248046
1.60452437388494,353.183741629835
1.63639221633711,361.58413668921
1.66666666666667,368.245807840215
1.6671410063716,368.339270822601
1.66761534607654,368.429708777565
1.66856402548641,368.6047375559
1.67020638437335,368.891747163492
1.67184874326029,369.18545439565
1.67431947321228,369.682574658573
1.67666666666667,370.192560450658
1.67751951978493,370.37850857905
1.67837237290319,370.561796477688
1.68007807913971,370.914877733237
1.68225466037185,371.303607684887
1.68443124160399,371.610372615545
1.68660782283613,371.882991317601
1.68878440406827,372.19821535525
1.6909609853004,372.599175339026
1.69313756653254,373.071125951568
1.69531414776468,373.55836968026
1.69749072899682,373.999361610913
1.70020747050822,374.434048389335
1.70292421201961,374.755283338297
1.70564095353101,375.037404226017
1.70835769504241,375.369493967684
1.71107443655381,375.803543821227
1.7137911780652,376.329200124817
1.71714091355207,377.003973281646
1.72049064903895,377.581182935408
1.72384038452582,377.984711224012
1.72719012001269,378.251546394909
1.73053985549956,378.503320529382
1.73456545185577,378.931874872877
1.73859104821198,379.429914745815
1.7426166445682,379.576497256717
1.74664224092441,378.648487634453
1.75066783728062,375.866663931627
1.75598182533256,368.541120150736
1.76003816279549,360.155320893436
1.76409450025841,349.903408427168
1.7693095328939,335.378589443555
1.77452456552939,320.826603439479
1.77858706277909,310.203746572513
1.78264956002878,300.458209927544
1.787661845217,289.534930793929
1.79267413040521,279.547818841227
1.79768641559342,270.232410889009
1.80269870078163,261.466100641161
1.80899757466785,251.201450677084
1.81529644855407,241.741696640747
1.82159532244029,232.95589132333
1.82789419632652,224.66457276305
1.83419307021274,216.749043177272
1.84049194409896,209.183258741005
1.85035346293503,198.037510392247
1.86021498177109,187.633151801401
1.87007650060716,177.790025497948
1.87993801944322,168.429463886961
1.88979953827929,159.553587196276
1.90234825160255,148.870227295489
1.91489696492581,138.730352931995
1.92744567824907,129.106779083894
1.944861732838,116.741438984475
1.96227778742693,105.589276500299
1.97969384201585,95.5536030520237
2.00724794617756,81.4414085642433
2.03480205033926,69.2251387269267
2.06818549751076,56.787728196085
2.10156894468225,46.4301135042459
2.13495239185375,37.8399024077291
2.16666666666667,31.1578572667791
2.16731173011083,31.0387113469587
2.16795679355498,30.9244833546553
2.1692469204433,30.7034533447934
2.17110968576964,30.3908338458678
2.17297245109598,30.0518769019134
2.17486692061941,29.6669212861911
2.17666666666667,29.2857345893438
2.17746492743673,29.1174995895107
2.17826318820679,28.9509215812856
2.17985970974691,28.6277899564963
2.18197291708023,28.2538381164759
2.18408612441355,27.9593359902555
2.18619933174688,27.7077427814492
2.1883125390802,27.4278775031987
2.19042574641353,27.0713501003115
2.19253895374685,26.6409429491026
2.19465216108018,26.1815933544356
